APP Name,Protocol,Source IP,Source Port,Destination IP,Destination Port
A8体育,Unknown,10.215.173.1,54381,10.215.173.2,53
A8体育,Unknown,10.215.173.1,45293,10.215.173.2,53
A8体育,Unknown,10.215.173.2,53,10.215.173.1,45293
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,Unknown,10.215.173.1,56740,10.215.173.2,53
A8体育,Unknown,10.215.173.2,53,10.215.173.1,56740
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,Unknown,10.215.173.2,53,10.215.173.1,54381
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,36.143.252.112,443,10.215.173.1,49522
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,10.215.173.1,53322,223.109.148.179,443
A8体育,DoH,223.109.148.179,443,10.215.173.1,53322
A8体育,DoH,10.215.173.1,49522,36.143.252.112,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,Unknown,10.215.173.1,6313,10.215.173.2,53
A8体育,Unknown,10.215.173.2,53,10.215.173.1,6313
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,10.215.173.1,54874,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54874
A8体育,HTTP,10.215.173.1,54874,59.110.4.153,80
A8体育,HTTP,10.215.173.1,54874,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54874
A8体育,HTTP,10.215.173.1,54874,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54874
A8体育,HTTP,10.215.173.1,54874,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54874
A8体育,HTTP,10.215.173.1,54874,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54874
A8体育,HTTP,10.215.173.1,54874,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54874
A8体育,HTTP,10.215.173.1,54874,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54874
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,10.215.173.1,44296,47.107.144.143,443
A8体育,DoH,10.215.173.1,44300,47.107.144.143,443
A8体育,DoH,10.215.173.1,44304,47.107.144.143,443
A8体育,DoH,10.215.173.1,44322,47.107.144.143,443
A8体育,DoH,10.215.173.1,44334,47.107.144.143,443
A8体育,DoH,10.215.173.1,44354,47.107.144.143,443
A8体育,Unknown,10.215.173.1,35689,10.215.173.2,53
A8体育,Unknown,10.215.173.2,53,10.215.173.1,35689
A8体育,DoH,10.215.173.1,57638,36.143.252.105,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44304
A8体育,DoH,10.215.173.1,44304,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44296
A8体育,DoH,47.107.144.143,443,10.215.173.1,44300
A8体育,DoH,10.215.173.1,44296,47.107.144.143,443
A8体育,DoH,10.215.173.1,44300,47.107.144.143,443
A8体育,DoH,10.215.173.1,44304,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44304
A8体育,DoH,10.215.173.1,44296,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44296
A8体育,DoH,10.215.173.1,44300,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44300
A8体育,DoH,36.143.252.105,443,10.215.173.1,57638
A8体育,DoH,10.215.173.1,57638,36.143.252.105,443
A8体育,DoH,10.215.173.1,57638,36.143.252.105,443
A8体育,DoH,36.143.252.105,443,10.215.173.1,57638
A8体育,DoH,10.215.173.1,57638,36.143.252.105,443
A8体育,DoH,36.143.252.105,443,10.215.173.1,57638
A8体育,DoH,47.107.144.143,443,10.215.173.1,44322
A8体育,DoH,10.215.173.1,44322,47.107.144.143,443
A8体育,DoH,10.215.173.1,44322,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44322
A8体育,DoH,47.107.144.143,443,10.215.173.1,44334
A8体育,DoH,10.215.173.1,44334,47.107.144.143,443
A8体育,DoH,10.215.173.1,44334,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44334
A8体育,DoH,47.107.144.143,443,10.215.173.1,44354
A8体育,DoH,10.215.173.1,44354,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,43342
A8体育,DoH,36.143.252.105,443,10.215.173.1,57638
A8体育,DoH,10.215.173.1,43342,47.107.144.143,443
A8体育,DoH,10.215.173.1,57638,36.143.252.105,443
A8体育,DoH,36.143.252.105,443,10.215.173.1,57638
A8体育,DoH,10.215.173.1,57638,36.143.252.105,443
A8体育,DoH,36.143.252.105,443,10.215.173.1,57638
A8体育,DoH,10.215.173.1,57638,36.143.252.105,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44304
A8体育,DoH,10.215.173.1,44304,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44304
A8体育,DoH,10.215.173.1,44304,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44304
A8体育,DoH,10.215.173.1,44304,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44300
A8体育,DoH,10.215.173.1,44300,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44300
A8体育,DoH,10.215.173.1,44300,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44300
