APP Name,Protocol,Source IP,Source Port,Destination IP,Destination Port,Query,Response,TTL,Answer
A8体育,Unknown,10.215.173.1,54381,10.215.173.2,53,a8zj.zhijingwh.cn.,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,45293,10.215.173.2,53,ulogs.umeng.com.,N/A,N/A,N/A
A8体育,Unknown,10.215.173.2,53,10.215.173.1,45293,N/A,ulogs.umeng.com.,95,b'ulogs.umeng.com.gds.alibabadns.com.'
A8体育,Unknown,10.215.173.1,53322,223.109.148.179,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,56740,10.215.173.2,53,umengacs.m.taobao.com.,N/A,N/A,N/A
A8体育,Unknown,10.215.173.2,53,10.215.173.1,56740,N/A,umengacs.m.taobao.com.,98,b'msgacs.m.umeng.com.'
A8体育,Unknown,10.215.173.1,49522,36.143.252.112,443,N/A,N/A,N/A,N/A
A8体育,Unknown,223.109.148.179,443,10.215.173.1,53322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,53322,223.109.148.179,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.2,53,10.215.173.1,54381,N/A,a8zj.zhijingwh.cn.,600,47.107.144.143
A8体育,Unknown,10.215.173.1,43342,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,53322,223.109.148.179,443,N/A,N/A,N/A,N/A
A8体育,Unknown,223.109.148.179,443,10.215.173.1,53322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,53322,223.109.148.179,443,N/A,N/A,N/A,N/A
A8体育,Unknown,223.109.148.179,443,10.215.173.1,53322,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.112,443,10.215.173.1,49522,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,49522,36.143.252.112,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,49522,36.143.252.112,443,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.112,443,10.215.173.1,49522,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,49522,36.143.252.112,443,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.112,443,10.215.173.1,49522,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,43342,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,43342,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,223.109.148.179,443,10.215.173.1,53322,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.112,443,10.215.173.1,49522,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,53322,223.109.148.179,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,49522,36.143.252.112,443,N/A,N/A,N/A,N/A
A8体育,Unknown,223.109.148.179,443,10.215.173.1,53322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,53322,223.109.148.179,443,N/A,N/A,N/A,N/A
A8体育,Unknown,223.109.148.179,443,10.215.173.1,53322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,53322,223.109.148.179,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,49522,36.143.252.112,443,N/A,N/A,N/A,N/A
