APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 10.215.173.1, Source Port: 59678, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 60
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59678, Query: N/A, Response: N/A, Answer: N/A, Length: 48
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 10.215.173.1, Source Port: 59678, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59678, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 10.215.173.1, Source Port: 59678, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59678, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 10.215.173.1, Source Port: 59678, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 10.215.173.1, Source Port: 59682, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 60
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59682, Query: N/A, Response: N/A, Answer: N/A, Length: 48
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 10.215.173.1, Source Port: 59682, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59682, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TCP, Source IP: 10.215.173.1, Source Port: 59682, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 40
