APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 59678, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 617
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59678, Query: N/A, Response: N/A, Answer: N/A, Length: 286
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 59682, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 617
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59682, Query: N/A, Response: N/A, Answer: N/A, Length: 286
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34604, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34606, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34612, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34606, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34616, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34612, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34620, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34616, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34624, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34620, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34624, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34628, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34632, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34628, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34632, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34636, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34636, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 41806, Destination IP: 112.57.71.161, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 112.57.71.161, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 41806, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 60270, Destination IP: 8.134.241.67, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 8.134.241.67, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 60270, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 40894, Destination IP: 39.136.60.205, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 39.136.60.205, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 40894, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 38116, Destination IP: 120.220.192.230, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 674
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.192.230, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 38116, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34116, Destination IP: 120.220.145.142, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34118, Destination IP: 120.220.145.142, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.145.142, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34116, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.145.142, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34118, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36700, Destination IP: 120.220.179.64, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.179.64, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36700, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 49850, Destination IP: 120.220.158.216, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36706, Destination IP: 120.220.39.234, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.158.216, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 49850, Query: N/A, Response: N/A, Answer: N/A, Length: 1434
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.39.234, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36706, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 59816, Destination IP: 120.222.219.196, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 646
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.222.219.196, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59816, Query: N/A, Response: N/A, Answer: N/A, Length: 278
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34140, Destination IP: 120.220.145.142, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.145.142, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34140, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 49850, Destination IP: 120.220.158.216, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 133
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 120.220.158.216, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 49850, Query: N/A, Response: N/A, Answer: N/A, Length: 314
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36324, Destination IP: 120.221.252.88, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 228
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 44310, Destination IP: 120.220.39.183, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 645
