APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 52464, Destination IP: 183.192.196.74, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 60
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 183.192.196.74, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 52464, Query: N/A, Response: N/A, Answer: N/A, Length: 48
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 52464, Destination IP: 183.192.196.74, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 52464, Destination IP: 183.192.196.74, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 698
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 183.192.196.74, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 52464, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 183.192.196.74, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 52464, Query: N/A, Response: N/A, Answer: N/A, Length: 846
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 52464, Destination IP: 183.192.196.74, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 33184, Destination IP: 111.30.179.98, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 60
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 111.30.179.98, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 33184, Query: N/A, Response: N/A, Answer: N/A, Length: 48
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 33184, Destination IP: 111.30.179.98, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 33184, Destination IP: 111.30.179.98, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 215
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 111.30.179.98, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 33184, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 111.30.179.98, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 33184, Query: N/A, Response: N/A, Answer: N/A, Length: 303
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 33184, Destination IP: 111.30.179.98, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 52464, Destination IP: 183.192.196.74, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 386
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 183.192.196.74, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 52464, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 183.192.196.74, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 52464, Query: N/A, Response: N/A, Answer: N/A, Length: 250
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 52464, Destination IP: 183.192.196.74, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 39720, Destination IP: 120.222.238.120, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 60
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 120.222.238.120, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 39720, Query: N/A, Response: N/A, Answer: N/A, Length: 48
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 39720, Destination IP: 120.222.238.120, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 10.215.173.1, Source Port: 39720, Destination IP: 120.222.238.120, Destination Port: 80, Query: N/A, Response: N/A, Answer: N/A, Length: 285
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 120.222.238.120, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 39720, Query: N/A, Response: N/A, Answer: N/A, Length: 40
APP Name: QQ“Ù¿÷PCAPdroid_31_10‘¬_08_50_58, Protocol: HTTP, Source IP: 120.222.238.120, Source Port: 80, Destination IP: 10.215.173.1, Destination Port: 39720, Query: N/A, Response: N/A, Answer: N/A, Length: 576
