APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 59920, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 617
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59920, Query: N/A, Response: N/A, Answer: N/A, Length: 286
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 59924, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 617
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59924, Query: N/A, Response: N/A, Answer: N/A, Length: 286
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 57062, Destination IP: 120.220.79.181, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.79.181, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 57062, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42700, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42700, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42704, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42704, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42706, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42710, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42706, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42710, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42716, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42716, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42720, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42720, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42724, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42724, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42728, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42728, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42732, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42732, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42052, Destination IP: 112.57.71.161, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 52064, Destination IP: 120.222.203.160, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 52066, Destination IP: 120.222.203.160, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.160, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 52064, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
